Auction_id,Auction_Desc,round_num,bidder_id,bidder_name,bip_name,bip_desc,bid_rnd_num,net_bid_amt,bid_amt
71,Broadband PCS,21,16216343,"JUSTKAKE Investments, LLC",CW-BTA054-F,"Brainerd, MN",20,"144,000","192,000"
71,Broadband PCS,21,16216343,"JUSTKAKE Investments, LLC",CW-BTA054-C1,"Brainerd, MN",16,"189,750","253,000"
71,Broadband PCS,21,16216343,"JUSTKAKE Investments, LLC",CW-BTA166-F,"Grand Forks, ND",1,"76,500","102,000"
71,Broadband PCS,21,1940022,"Carolina West Wireless, Inc.",CW-BTA020-C5,"Asheville-Hendersonville, NC",14,"4,326,000","4,326,000"
71,Broadband PCS,21,9403692,"Buffalo-Lake Erie Wireless Systems Co.,",CW-BTA056-C5,"Brownsville-Harlingen, TX",11,"405,000","540,000"
71,Broadband PCS,21,2008498,"Highland Cellular Holdings, Inc.",CW-BTA082-C4,"Clarksburg-Elkins, WV",15,"242,000","242,000"
71,Broadband PCS,21,1786607,"East Kentucky Network, LLC",CW-BTA098-F,"Corbin, KY",1,"72,000","72,000"
71,Broadband PCS,21,5069323,Eastern Kansas Wireless Consortium,CW-BTA129-C3,"Emporia, KS",13,"197,000","197,000"
71,Broadband PCS,21,8209629,"N.E. Colorado Wireless Technologies, Inc",CW-BTA129-C4,"Emporia, KS",16,"198,000","198,000"
71,Broadband PCS,21,8209629,"N.E. Colorado Wireless Technologies, Inc",CW-BTA129-C5,"Emporia, KS",18,"186,000","186,000"
71,Broadband PCS,21,16217085,"Toba Inlet PCS, LLC",CW-BTA135-C4,"Evansville, IN",4,"301,000","301,000"
71,Broadband PCS,21,9403692,"Buffalo-Lake Erie Wireless Systems Co.,",CW-BTA135-C5,"Evansville, IN",5,"250,500","334,000"
71,Broadband PCS,21,1726488,American Samoa Telecommunications Author,CW-BTA492-C3,American Samoa,13,"146,000","146,000"
71,Broadband PCS,21,16191827,GreenFly LLC,CW-MTA032-A-1,Des Moines-Quad Cities,8,"3,500","3,500"
71,Broadband PCS,21,16191827,GreenFly LLC,CW-MTA032-A-2,Des Monies-Quad Cities,8,"3,500","3,500"
71,Broadband PCS,21,1726488,American Samoa Telecommunications Author,CW-MTA051-A,American Samoa,13,"444,000","444,000"
71,Broadband PCS,21,16217085,"Toba Inlet PCS, LLC",CW-BTA218-F,"Johnstown, PA",11,"573,000","573,000"
71,Broadband PCS,21,5069323,Eastern Kansas Wireless Consortium,CW-BTA220-C5,"Joplin, MO-Miami, OK",12,"785,400","924,000"
71,Broadband PCS,21,16216343,"JUSTKAKE Investments, LLC",CW-BTA194-F,"Houghton, MI",16,"34,500","46,000"
71,Broadband PCS,21,13436944,"SKT, Inc.",CW-BTA200-C4,"Hutchinson, KS",13,"340,000","340,000"
71,Broadband PCS,21,13436944,"SKT, Inc.",CW-BTA200-C5,"Hutchinson, KS",15,"340,000","340,000"
71,Broadband PCS,21,1700863,"Pioneer Telephone Cooperative, Inc.",CW-BTA200-C3,"Hutchinson, KS",14,"327,000","327,000"
71,Broadband PCS,21,2008498,"Highland Cellular Holdings, Inc.",CW-BTA330-C3,"Olean, NY-Bradford, PA",19,"101,150","119,000"
71,Broadband PCS,21,2008498,"Highland Cellular Holdings, Inc.",CW-BTA289-C3,"Melbourne-Titusville, FL",12,"357,000","420,000"
71,Broadband PCS,21,5069323,Eastern Kansas Wireless Consortium,CW-BTA349-C4,"Pittsburg-Parsons, KS",12,"85,000","100,000"
71,Broadband PCS,21,5069323,Eastern Kansas Wireless Consortium,CW-BTA349-C5,"Pittsburg-Parsons, KS",10,"82,450","97,000"
71,Broadband PCS,21,1726488,American Samoa Telecommunications Author,CW-BTA492-C4,American Samoa,15,"145,000","145,000"
71,Broadband PCS,21,1726488,American Samoa Telecommunications Author,CW-BTA492-C5,American Samoa,17,"114,000","114,000"
71,Broadband PCS,21,5069323,Eastern Kansas Wireless Consortium,CW-BTA445-C3,"Topeka, KS",15,"1,150,000","1,150,000"
71,Broadband PCS,21,8209629,"N.E. Colorado Wireless Technologies, Inc",CW-BTA445-C4,"Topeka, KS",14,"716,000","716,000"
71,Broadband PCS,21,8209629,"N.E. Colorado Wireless Technologies, Inc",CW-BTA445-C5,"Topeka, KS",18,"1,363,000","1,363,000"
71,Broadband PCS,21,5069323,Eastern Kansas Wireless Consortium,CW-BTA349-C3,"Pittsburg-Parsons, KS",8,"79,900","94,000"
71,Broadband PCS,21,9403692,"Buffalo-Lake Erie Wireless Systems Co.,",CW-BTA435-C1,"Stroudsburg, PA",18,"154,000","154,000"
