auction_id	auction_description	round	item_name	item_description	pwb_amount	net_pwb_amount	pw_bidder	round_of_pwb	previous_pw_bidder	round_of_previous_pwb	previous_pwb_amount	previous_net_pwb_amount
73	700 MHz Band	261	WY-BEA001-A	Bangor ME	973000.00	729750.00	King Street Wireless, L.P.	52	PCS Partners, L.P.	51	939000.00	 	
73	700 MHz Band	261	WY-BEA002-A	Portland ME	2658000.00	1993500.00	King Street Wireless, L.P.	26	Cavalier Wireless, LLC	25	2419000.00	 	
73	700 MHz Band	261	WY-BEA003-A	Boston-Worcester MA-NH-RI-VT	313267000.00	313267000.00	MetroPCS 700 MHz, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	285853000.00	 	
73	700 MHz Band	261	WY-BEA004-A	Burlington VT-NY	2311000.00	1733250.00	King Street Wireless, L.P.	48	Vermont Telephone Company, Inc.	47	2222000.00	 	
73	700 MHz Band	261	WY-BEA005-A	Albany-Schenectady-Troy NY	2888000.00	2166000.00	Cavalier Wireless, LLC	136	Miller, David	135	2778000.00	 	
73	700 MHz Band	261	WY-BEA006-A	Syracuse NY-PA	1200000.00	900000.00	Cavalier Wireless, LLC	25	Cellco Partnership d/b/a Verizon Wireless	1	1143000.00	 	
73	700 MHz Band	261	WY-BEA007-A	Rochester NY-PA	1539000.00	1539000.00	CenturyTel Broadband Wireless LLC	48	Cavalier Wireless, LLC	47	1480000.00	 	
73	700 MHz Band	261	WY-BEA008-A	Buffalo-Niagara Falls NY-PA	1025000.00	768750.00	Cavalier Wireless, LLC	66	Miller, David	50	1005000.00	 	
73	700 MHz Band	261	WY-BEA009-A	State College PA	1144000.00	858000.00	Cavalier Wireless, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	1040000.00	 	
73	700 MHz Band	261	WY-BEA010-A	NYC-Long Is. NY-NJ-CT-PA-MA-VT	429356000.00	429356000.00	Cellco Partnership d/b/a Verizon Wireless	10	QUALCOMM Incorporated	9	357797000.00	 	
73	700 MHz Band	261	WY-BEA011-A	Harrisburg-Lebanon-Carlisle PA	1087000.00	815250.00	Cavalier Wireless, LLC	144	Miller, David	143	1051000.00	 	
73	700 MHz Band	261	WY-BEA012-A	Phil.-Atl. City PA-NJ-DE-MD	247613000.00	247613000.00	Cellco Partnership d/b/a Verizon Wireless	18	QUALCOMM Incorporated	16	206344000.00	 	
73	700 MHz Band	261	WY-BEA013-A	Wash.-Balt. DC-MD-VA-WV-PA	122688000.00	122688000.00	Cellco Partnership d/b/a Verizon Wireless	21	Bluewater Wireless, L.P.	20	112757000.00	 	
73	700 MHz Band	261	WY-BEA014-A	Salisbury MD-DE-VA	684000.00	513000.00	Triad 700, LLC	75	PCS Partners, L.P.	74	658000.00	 	
73	700 MHz Band	261	WY-BEA015-A	Richmond-Petersburg VA	7202000.00	5401500.00	Continuum 700 LLC	181	Cavalier Wireless, LLC	180	6925000.00	 	
73	700 MHz Band	261	WY-BEA016-A	Staunton VA-WV	533000.00	399750.00	Cavalier Wireless, LLC	64	King Street Wireless, L.P.	63	513000.00	 	
73	700 MHz Band	261	WY-BEA017-A	Roanoke VA-NC-WV	3151000.00	2363250.00	King Street Wireless, L.P.	93	Cavalier Wireless, LLC	92	3031000.00	 	
73	700 MHz Band	261	WY-BEA018-A	Greensboro-Winston-Salem NC-VA	4872000.00	3654000.00	Cavalier Wireless, LLC	60	Cellco Partnership d/b/a Verizon Wireless	22	4776000.00	 	
73	700 MHz Band	261	WY-BEA019-A	Raleigh-Durham-Chapel Hill NC	9080000.00	6810000.00	King Street Wireless, L.P.	73	Cavalier Wireless, LLC	72	8781000.00	 	
73	700 MHz Band	261	WY-BEA020-A	Norfolk-Virginia Beach VA-NC	18868000.00	18868000.00	Cox Wireless, Inc.	45	Continuum 700 LLC	44	18142000.00	 	
73	700 MHz Band	261	WY-BEA021-A	Greenville NC	1613000.00	1209750.00	Cavalier Wireless, LLC	151	Kurian, Thomas K	150	1524000.00	 	
73	700 MHz Band	261	WY-BEA022-A	Fayetteville NC	887000.00	753950.00	AWS Spectrum, LLC	75	Cavalier Wireless, LLC	74	853000.00	 	
73	700 MHz Band	261	WY-BEA023-A	Charlotte-Gastonia NC-SC	7811000.00	5858250.00	Cavalier Wireless, LLC	27	Cellco Partnership d/b/a Verizon Wireless	23	7429000.00	 	
73	700 MHz Band	261	WY-BEA024-A	Columbia SC	2782000.00	2086500.00	Cavalier Wireless, LLC	39	Continuum 700 LLC	38	2691000.00	 	
73	700 MHz Band	261	WY-BEA025-A	Wilmington NC-SC	8469000.00	8469000.00	Horry Telephone Cooperative, Inc.	172	Continuum 700 LLC	171	8190000.00	 	
73	700 MHz Band	261	WY-BEA026-A	Charleston-North Charleston SC	3955000.00	2966250.00	Continuum 700 LLC	43	Cavalier Wireless, LLC	42	3734000.00	 	
73	700 MHz Band	261	WY-BEA027-A	Augusta-Aiken GA-SC	1259000.00	944250.00	Cavalier Wireless, LLC	143	Kurian, Thomas K	142	1217000.00	 	
73	700 MHz Band	261	WY-BEA028-A	Savannah GA-SC	3899000.00	2924250.00	Continuum 700 LLC	56	Cavalier Wireless, LLC	55	3750000.00	 	
73	700 MHz Band	261	WY-BEA029-A	Jacksonville FL-GA	29852000.00	22389000.00	Continuum 700 LLC	33	Cellco Partnership d/b/a Verizon Wireless	26	28430000.00	 	
73	700 MHz Band	261	WY-BEA030-A	Orlando FL	66463000.00	66463000.00	Cellco Partnership d/b/a Verizon Wireless	22	MetroPCS 700 MHz, LLC	21	60472000.00	 	
73	700 MHz Band	261	WY-BEA031-A	Miami-Fort Lauderdale FL	64773000.00	64773000.00	Cellco Partnership d/b/a Verizon Wireless	23	Bluewater Wireless, L.P.	22	58895000.00	 	
73	700 MHz Band	261	WY-BEA032-A	Fort Myers-Cape Coral FL	5726000.00	4294500.00	Continuum 700 LLC	90	Triad 700, LLC	89	5506000.00	 	
73	700 MHz Band	261	WY-BEA033-A	Sarasota-Bradenton FL	6101000.00	4575750.00	Continuum 700 LLC	82	Triad 700, LLC	81	5866000.00	 	
73	700 MHz Band	261	WY-BEA034-A	Tampa-St. Petersburg FL	102138000.00	102138000.00	Cellco Partnership d/b/a Verizon Wireless	25	MetroPCS 700 MHz, LLC	24	94101000.00	 	
73	700 MHz Band	261	WY-BEA035-A	Tallahassee FL-GA	4138000.00	3103500.00	Cavalier Wireless, LLC	96	Cellular South Licenses, Inc.	49	4057000.00	 	
73	700 MHz Band	261	WY-BEA036-A	Dothan AL-FL-GA	7973000.00	7973000.00	CenturyTel Broadband Wireless LLC	74	Cellular South Licenses, Inc.	73	7699000.00	 	
73	700 MHz Band	261	WY-BEA037-A	Albany GA	647000.00	485250.00	Cavalier Wireless, LLC	45	Cellular South Licenses, Inc.	44	622000.00	 	
73	700 MHz Band	261	WY-BEA038-A	Macon GA	2635000.00	2635000.00	Cox Wireless, Inc.	160	Cavalier Wireless, LLC	159	2535000.00	 	
73	700 MHz Band	261	WY-BEA039-A	Columbus GA-AL	3299000.00	3299000.00	Cellular South Licenses, Inc.	26	Cellco Partnership d/b/a Verizon Wireless	25	2998000.00	 	
73	700 MHz Band	261	WY-BEA040-A	Atlanta GA-AL-NC	103388000.00	103388000.00	Cellco Partnership d/b/a Verizon Wireless	20	Cellular South Licenses, Inc.	19	94941000.00	 	
73	700 MHz Band	261	WY-BEA041-A	Greenville-Spartanburg SC-NC	3181000.00	2385750.00	Cavalier Wireless, LLC	49	Continuum 700 LLC	48	3071000.00	 	
73	700 MHz Band	261	WY-BEA042-A	Asheville NC	1440000.00	1080000.00	Cavalier Wireless, LLC	57	King Street Wireless, L.P.	56	1384000.00	 	
73	700 MHz Band	261	WY-BEA043-A	Chattanooga TN-GA	15121000.00	15121000.00	Cellular South Licenses, Inc.	27	Cellco Partnership d/b/a Verizon Wireless	26	13746000.00	 	
73	700 MHz Band	261	WY-BEA044-A	Knoxville TN	13695000.00	13695000.00	Cellular South Licenses, Inc.	27	Cellco Partnership d/b/a Verizon Wireless	26	12450000.00	 	
